1.88643 20.1 20.1 2 3 1
1.88649 20.0804 20.0804 2 3 1
1.88656 20.0607 20.0607 2 3 1
1.8867 20.0215 20.0215 2 3 1
1.88687 19.9724 19.9724 2 3 1
1.88704 19.9234 19.9234 2 3 1
1.88721 19.8744 19.8744 2 3 1
1.88738 19.8253 19.8253 2 3 1
1.88755 19.7763 19.7763 2 3 1
1.88772 19.7273 19.7273 2 3 1
1.8879 19.6783 19.6783 2 3 1
1.88807 19.6294 19.6294 2 3 1
1.88825 19.5804 19.5804 2 3 1
1.88842 19.5315 19.5315 2 3 1
1.8886 19.4825 19.4825 2 3 1
1.88878 19.4336 19.4336 2 3 1
1.88896 19.3847 19.3847 2 3 1
1.88914 19.3358 19.3358 2 3 1
1.88932 19.2869 19.2869 2 3 1
1.8895 19.238 19.238 2 3 1
1.88968 19.1892 19.1892 2 3 1
1.88986 19.1404 19.1404 2 3 1
1.89004 19.0915 19.0915 2 3 1
1.89023 19.0427 19.0427 2 3 1
1.89041 18.9939 18.9939 2 3 1
1.8906 18.9451 18.9451 2 3 1
1.89078 18.8964 18.8964 2 3 1
1.89097 18.8476 18.8476 2 3 1
1.89116 18.7989 18.7989 2 3 1
1.89135 18.7502 18.7502 2 3 1
1.89154 18.7015 18.7015 2 3 1
1.89173 18.6528 18.6528 2 3 1
1.89192 18.6041 18.6041 2 3 1
1.89211 18.5554 18.5554 2 3 1
1.89231 18.5068 18.5068 2 3 1
1.8925 18.4582 18.4582 2 3 1
1.8927 18.4096 18.4096 2 3 1
1.89289 18.361 18.361 2 3 1
1.89309 18.3125 18.3125 2 3 1
1.89329 18.2639 18.2639 2 3 1
1.89348 18.2154 18.2154 2 3 1
1.89368 18.1669 18.1669 2 3 1
1.89388 18.1184 18.1184 2 3 1
1.89409 18.07 18.07 2 3 1
1.89429 18.0215 18.0215 2 3 1
1.89449 17.9731 17.9731 2 3 1
1.8947 17.9247 17.9247 2 3 1
1.8949 17.8763 17.8763 2 3 1
